QR,YEAR ,Product,North America,France,Germany,Italy,The Netherlands,Spain,UK,Russia,Austria,Belgium,Portugal,Ireland,Switzerland,Israel,Nordics,Poland,Europe,Rest of Central Eastern Europe,South Africa,Turkey,Saudi Arabia,Rest of MEA,Middle East,MEA,Argentina,Brazil,Chile,Colombia,Mexico,Costa Rica,Peru,Ecuador,Rest of LATAM,LATAM,ANZ,China,Hong Kong,India,Indonesia,Japan ,Malaysia,Singapore,South Korea,Taiwan,Thailand,Vietnam,ASPAC,WW
Q4,2024,Coils,40164.0,7828.0,13814.0,5654.0,903.0,5481.0,6405.0,5188.0,1094.0,1656.0,960.0,560.0,1160.0,829.0,2708.0,,64641.0,11441.0,569.0,7058.0,1085.0,2813.0,836.0,12361.0,2025.0,10714.0,634.0,2706.0,1857.0,0.01,230.0,0.01,430.0,18596.0,3101.0,142206.0,0.01,6221.0,967.0,46047.0,250.0,0.01,29522.0,3698.0,0.01,4193.0,236205.0,375420.0
Q4,2024,MicroCatheters,45315.0,6514.0,14451.0,5571.0,1407.0,5310.0,3860.0,2830.0,927.0,1083.0,1892.0,476.0,1145.0,1270.0,2267.0,,55521.0,7144.0,371.0,5683.0,1973.0,3553.0,627.0,12207.0,1304.0,8082.0,756.0,1977.0,1966.0,0.01,421.0,0.01,755.0,15517.0,2550.0,117551.0,375.0,4564.0,283.0,18200.0,571.0,471.0,10305.0,3136.0,1122.0,3089.0,162217.0,290777.0
Q4,2024,Guidewires,47456.0,7151.0,18172.0,5944.0,0.01,7008.0,4870.0,1009.0,1195.0,1293.0,1187.0,469.0,1103.0,1662.0,2868.0,,62373.0,11999.0,398.0,9429.0,2133.0,4132.0,763.0,16855.0,658.0,10735.0,801.0,2501.0,1970.0,0.01,412.0,0.01,787.0,17864.0,0.01,88880.0,0.01,6309.0,236.0,0.01,896.0,1027.0,0.01,0.01,842.0,3183.0,124307.0,270872.0
Q4,2024,Guide Catheters,47186.0,4857.0,6464.0,4265.0,299.0,3098.0,0.01,610.0,505.0,322.0,0.01,54.0,804.0,842.0,891.0,,33909.0,5410.0,252.0,0.01,576.0,1788.0,179.0,2795.0,144.0,3862.0,486.0,1509.0,528.0,0.01,281.0,95.0,562.0,7467.0,2535.0,0.01,146.0,1568.0,123.0,2157.0,23.0,452.0,0.01,0.01,561.0,780.0,25385.0,117257.0
Q4,2024,Aspiration Catheters,17957.0,2614.0,8133.0,2869.0,992.0,1860.0,1628.0,1173.0,573.0,473.0,1200.0,219.0,460.0,458.0,1500.0,,28883.0,5061.0,83.0,744.0,1077.0,453.0,0.01,2357.0,72.0,1084.0,129.0,338.0,0.01,0.01,0.01,20.0,133.0,2498.0,1515.0,11089.0,229.0,711.0,0.01,7552.0,255.0,184.0,1029.0,782.0,353.0,1325.0,25024.0,76917.0
Q4,2024,Long Sheaths,16490.0,2957.0,5437.0,3241.0,545.0,3238.0,1375.0,0.01,205.0,436.0,0.01,0.01,427.0,381.0,836.0,,24499.0,3998.0,114.0,1412.0,172.0,0.01,0.01,2024.0,0.01,2627.0,254.0,1185.0,488.0,0.01,0.01,55.0,0.01,4825.0,898.0,19358.0,0.01,1539.0,0.01,0.01,104.0,0.01,624.0,1459.0,0.01,1177.0,26119.0,73957.0
Q4,2024,Distal Access Catheters,12646.0,1173.0,1648.0,1203.0,146.0,752.0,553.0,0.01,85.0,183.0,182.0,65.0,200.0,117.0,478.0,,8374.0,1299.0,149.0,2050.0,221.0,345.0,91.0,2856.0,230.0,1361.0,77.0,381.0,111.0,0.01,0.01,14.0,117.0,2291.0,460.0,16527.0,0.01,1076.0,0.01,4792.0,121.0,96.0,1582.0,378.0,147.0,0.01,25299.0,51492.0
Q4,2024,Adjuctive Stents,2471.0,258.0,667.0,296.0,0.01,338.0,101.0,260.0,33.0,91.0,98.0,26.0,84.0,68.0,161.0,,3179.0,920.0,29.0,1602.0,112.0,319.0,0.01,2062.0,161.0,705.0,66.0,305.0,141.0,0.01,0.01,0.01,47.0,1457.0,190.0,36800.0,0.01,430.0,0.01,1051.0,12.0,14.0,2167.0,297.0,59.0,105.0,41168.0,50474.0
Q4,2024,Stent Retrievers,8573.0,1843.0,5854.0,1441.0,868.0,2103.0,972.0,377.0,397.0,400.0,436.0,102.0,542.0,289.0,767.0,,18438.0,2370.0,40.0,1190.0,481.0,230.0,114.0,2055.0,33.0,938.0,77.0,0.01,174.0,0.01,0.01,0.01,29.0,1438.0,574.0,7523.0,74.0,489.0,64.0,5147.0,95.0,88.0,1166.0,412.0,288.0,391.0,16311.0,46815.0
Q4,2024,AVM Liquids,11681.0,975.0,1316.0,752.0,0.01,995.0,485.0,0.01,0.01,164.0,0.01,0.01,169.0,386.0,279.0,,7202.0,0.01,0.01,0.01,537.0,0.01,0.01,0.01,0.01,1723.0,531.0,715.0,480.0,0.01,639.0,0.01,171.0,4259.0,507.0,0.01,0.01,0.01,131.0,0.01,0.01,0.01,0.01,214.0,164.0,0.01,12588.0,39473.0
Q4,2024,Remodeling Balloons,5719.0,1414.0,830.0,350.0,0.01,766.0,757.0,149.0,0.01,135.0,53.0,0.01,150.0,97.0,246.0,,5571.0,432.0,60.0,1101.0,241.0,186.0,0.01,1588.0,48.0,1728.0,356.0,153.0,231.0,0.01,0.01,0.01,45.0,2561.0,557.0,412.0,0.01,378.0,0.01,2177.0,59.0,29.0,69.0,0.01,26.0,41.0,3781.0,19311.0
Q4,2024,Flow Diverters,4608.0,333.0,538.0,437.0,41.0,335.0,289.0,337.0,41.0,125.0,72.0,0.01,58.0,95.0,113.0,,3611.0,813.0,12.0,658.0,129.0,178.0,20.0,997.0,428.0,1154.0,69.0,391.0,322.0,0.01,40.0,18.0,124.0,2546.0,278.0,4360.0,73.0,549.0,15.0,1164.0,41.0,0.01,175.0,316.0,38.0,246.0,7255.0,19053.0
Q4,2024,Balloon Guide Catheters,934.0,0.01,1465.0,178.0,581.0,618.0,0.01,0.01,0.01,221.0,0.01,0.01,0.01,0.01,0.01,,5480.0,463.0,19.0,0.01,0.01,0.01,52.0,71.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1568.0,8718.0
Q4,2024,Intrasaccular Devices,0.01,200.0,259.0,71.0,18.0,40.0,217.0,0.01,25.0,0.01,0.01,0.01,31.0,0.01,0.01,,1082.0,139.0,0.01,0.01,0.01,0.01,0.01,69.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,272.0,2532.0
